match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,comprehensive_momentum_1,comprehensive_momentum_2,serve_width_B,serve_width_BC,serve_width_BW,serve_width_C,serve_width_W,serve_depth_CTL,serve_depth_NCTL,return_depth_D,return_depth_ND
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,00:00:00,1,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.646,5.293,2,108.0,BC,NCTL,ND,0.0,0.0,0,1,0,0,0,0,1,0,1
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,00:00:36,1,1,2,0,0,0,0,15,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.596,4.009,1,124.0,C,NCTL,ND,0.021013967213114753,-0.024413967213114753,0,0,0,1,0,0,1,0,1
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,00:00:58,1,1,3,0,0,0,0,15,15,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.403,55.989,9,104.0,BW,NCTL,D,0.042861567554098354,-0.04707092755409835,0,0,1,0,0,0,1,1,0
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,00:01:52,1,1,4,0,0,0,0,15,30,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.565,8.453,2,98.0,W,NCTL,D,0.029672227125442506,-0.029323403082562503,0,0,0,0,1,0,1,1,0
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,00:02:32,1,1,5,0,0,0,0,30,30,2,2,1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.195,2.378,0,,,,ND,0.006351398635987746,0.0011947727546072501,0,0,0,0,0,0,0,0,1
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,00:03:12,1,1,6,0,0,0,0,40,30,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.414,4.119,1,125.0,C,NCTL,ND,-0.0013353913951091104,0.0183188474032851,0,0,0,1,0,0,1,0,1
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,00:03:37,1,1,7,0,0,0,0,40,40,2,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.703,2.976,1,125.0,C,NCTL,ND,-0.013559381451978145,0.04738784358859978,0,0,0,1,0,0,1,0,1
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,00:04:01,1,1,8,0,0,0,0,40,AD,2,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.651,14.614,4,106.0,B,NCTL,D,-0.060162685288427914,0.11122569010492145,1,0,0,0,0,0,1,1,0
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,00:04:45,1,1,9,0,0,0,0,40,40,2,1,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,4.433,1,117.0,W,NCTL,D,-0.10610365714035196,0.1774079134836582,0,0,0,0,1,0,1,1,0
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,00:05:08,1,1,10,0,0,0,0,40,AD,2,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,21.321,24.065,4,124.0,C,NCTL,D,-0.16489465288498786,0.267836489400717,0,0,0,1,0,0,1,1,0
