match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,comprehensive_momentum_1,comprehensive_momentum_2,serve_width_B,serve_width_BC,serve_width_BW,serve_width_C,serve_width_W,serve_depth_CTL,serve_depth_NCTL,return_depth_D,return_depth_ND
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,00:00:00,1,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.929,6.36,2,99.0,BC,NCTL,ND,0.0,0.0,0,1,0,0,0,0,1,0,1
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,00:00:33,1,1,2,0,0,0,0,15,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.196,5.892,1,103.0,B,NCTL,D,0.02093418579234973,-0.024334185792349725,1,0,0,0,0,0,1,1,0
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,00:01:04,1,1,3,0,0,0,0,15,15,2,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.364,27.314,7,115.0,BW,NCTL,ND,0.04262169957595629,-0.046831059575956284,0,0,1,0,0,0,1,0,1
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,00:01:36,1,1,4,0,0,0,0,15,30,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.553,4.084,1,126.0,C,NCTL,ND,0.037570626396255205,-0.037221802353375175,0,0,0,1,0,0,1,0,1
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,00:01:56,1,1,5,0,0,0,0,15,40,2,1,2,1,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.364,0.694,1,121.0,W,CTL,,-0.011402500233778548,0.02814867162437357,0,0,0,0,1,1,0,0,0
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,00:02:48,1,2,6,0,0,0,1,0,0,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.049,29.093,5,130.0,C,NCTL,D,-0.11902753470491148,0.1688606859476475,0,0,0,1,0,0,1,1,0
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,00:03:09,1,2,7,0,0,0,1,15,0,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.361,18.92,1,123.0,C,CTL,D,-0.24834034723537912,0.35760668446108024,0,0,0,1,0,1,0,1,0
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,00:03:31,1,2,8,0,0,0,1,30,0,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,0.897,1,131.0,C,CTL,,-0.36252252510259286,0.5693168358603913,0,0,0,1,0,1,0,0,0
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,00:03:49,1,2,9,0,0,0,1,40,0,1,2,1,5,4,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.632,23.16,5,87.0,W,CTL,ND,-0.43236642638407413,0.7808015217977066,0,0,0,0,1,1,0,0,1
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,00:04:55,1,3,10,0,0,1,1,0,0,2,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.383,5.494,1,132.0,C,NCTL,D,-0.43067124623785424,0.9842337347524697,0,0,0,1,0,0,1,1,0
